word,pos,vector
block,VBZ,201
work,NN,201
website,NNS,201
set,JJ,201
leisure,NN,201
space,NNS,201
block,NNS,201
leisure,VBP,201
website,NNS,201
work,NN,201
space,NNS,201
guard,NN,202
face,NN,202
mask,NN,202
vibrate,VBZ,202
clench,VBP,202
jaw,NN,202
people,NNS,202
need,VBP,202
stop,VB,202
clenching,NN,202
Wearable,JJ,203
collect,VBZ,203
data,NNS,203
bustrain,NN,203
route,NNS,203
alert,NNS,203
wearer,VBP,203
be,VBP,203
min,NNS,203
stop,NN,203
put,VB,203
belonging,NNS,203
Earpieceearbuds,NNS,204
combat,VBP,204
motion,NN,204
sickness,NN,204
Backpack,NN,205
wireless,JJ,205
charger,NN,205
charge,VB,205
phonelaptop,NN,205
use,NN,205
Pockets,NNS,206
bagjacket,NN,206
detect,NN,206
phone,NN,206
be,VBZ,206
place,NNS,206
phone,NN,206
uniterrupted,JJ,206
work,NN,206
Attatchment,NN,207
